LoginID,StudentID,EnrollmentID,LoginTimestamp,LogoutTimestamp,SessionDurationMinutes,ActivityType
59920,148,742,2024-11-23 23:00:00,2024-11-24 00:59:00,119,Other
59921,148,742,2024-10-06 09:00:00,2024-10-06 11:55:00,175,Other
59922,148,742,2024-10-09 21:00:00,2024-10-09 23:48:00,168,ViewGrades
59923,148,742,2024-09-05 06:00:00,2024-09-05 06:32:00,32,Discussion
59924,148,742,2024-10-16 18:00:00,2024-10-16 18:24:00,24,ViewLectures
59925,148,742,2024-09-08 07:00:00,2024-09-08 08:41:00,101,Discussion
59926,148,742,2024-10-03 07:00:00,2024-10-03 08:42:00,102,ViewGrades
59927,148,742,2024-10-24 21:00:00,2024-10-24 23:38:00,158,Discussion
59928,148,742,2024-10-29 09:00:00,2024-10-29 11:14:00,134,SubmitAssignment
59929,148,742,2024-11-10 06:00:00,2024-11-10 08:20:00,140,Other
59930,148,742,2024-11-06 07:00:00,2024-11-06 08:04:00,64,Other
59931,148,742,2024-09-28 04:00:00,2024-09-28 06:02:00,122,Other
59932,148,742,2024-11-08 06:00:00,2024-11-08 08:55:00,175,Discussion
59933,148,742,2024-10-17 22:00:00,2024-10-17 23:57:00,117,Other
59934,148,742,2024-11-01 18:00:00,2024-11-01 19:38:00,98,Other
59935,148,743,2024-10-28 02:00:00,2024-10-28 02:32:00,32,Other
59936,148,743,2024-09-05 10:00:00,2024-09-05 10:29:00,29,ViewLectures
59937,148,743,2024-10-29 16:00:00,2024-10-29 18:18:00,138,ViewLectures
59938,148,743,2024-11-02 17:00:00,2024-11-02 18:51:00,111,Discussion
59939,148,743,2024-09-29 11:00:00,2024-09-29 12:14:00,74,ViewLectures
59940,148,743,2024-12-01 16:00:00,2024-12-01 16:56:00,56,SubmitAssignment
59941,148,743,2024-09-20 19:00:00,2024-09-20 20:16:00,76,ViewGrades
59942,148,743,2024-10-25 03:00:00,2024-10-25 05:00:00,120,ViewLectures
59943,148,743,2024-09-14 20:00:00,2024-09-14 20:59:00,59,ViewGrades
59944,148,743,2024-12-10 20:00:00,2024-12-10 22:15:00,135,ViewGrades
59945,148,743,2024-09-19 15:00:00,2024-09-19 16:56:00,116,ViewGrades
59946,148,743,2024-09-13 04:00:00,2024-09-13 06:59:00,179,Discussion
59947,148,743,2024-11-10 18:00:00,2024-11-10 20:23:00,143,Other
59948,148,744,2024-10-18 07:00:00,2024-10-18 09:12:00,132,SubmitAssignment
59949,148,744,2024-11-27 02:00:00,2024-11-27 04:08:00,128,ViewLectures
59950,148,744,2024-11-25 05:00:00,2024-11-25 07:13:00,133,ViewGrades
59951,148,744,2024-09-04 06:00:00,2024-09-04 07:21:00,81,SubmitAssignment
59952,148,744,2024-12-03 08:00:00,2024-12-03 09:34:00,94,ViewGrades
59953,148,744,2024-10-06 01:00:00,2024-10-06 01:32:00,32,Discussion
59954,148,744,2024-12-07 11:00:00,2024-12-07 13:46:00,166,SubmitAssignment
59955,148,744,2024-09-01 12:00:00,2024-09-01 14:17:00,137,Other
59956,148,744,2024-11-20 21:00:00,2024-11-20 21:46:00,46,SubmitAssignment
59957,148,744,2024-10-23 18:00:00,2024-10-23 20:25:00,145,Discussion
102052,250,1264,2024-12-13 21:00:00,2024-12-13 21:29:00,29,ViewGrades
102053,250,1264,2024-09-21 05:00:00,2024-09-21 05:34:00,34,ViewGrades
102054,250,1264,2024-09-21 18:00:00,2024-09-21 18:18:00,18,ViewLectures
102055,250,1264,2024-11-30 10:00:00,2024-11-30 11:14:00,74,Other
102056,250,1264,2024-09-04 23:00:00,2024-09-05 01:38:00,158,ViewGrades
102057,250,1264,2024-09-27 00:00:00,2024-09-27 02:59:00,179,SubmitAssignment
102058,250,1264,2024-11-10 18:00:00,2024-11-10 20:30:00,150,Discussion
102059,250,1264,2024-09-17 07:00:00,2024-09-17 07:16:00,16,ViewGrades
102060,250,1264,2024-11-09 10:00:00,2024-11-09 12:47:00,167,ViewLectures
102061,250,1264,2024-10-09 08:00:00,2024-10-09 08:24:00,24,SubmitAssignment
102062,250,1264,2024-11-05 04:00:00,2024-11-05 04:16:00,16,SubmitAssignment
102063,250,1264,2024-10-07 12:00:00,2024-10-07 14:31:00,151,Discussion
102064,250,1264,2024-09-27 18:00:00,2024-09-27 18:27:00,27,ViewGrades
102065,250,1264,2024-12-10 21:00:00,2024-12-10 23:40:00,160,SubmitAssignment
102066,250,1264,2024-11-09 15:00:00,2024-11-09 17:04:00,124,Discussion
102067,250,1264,2024-09-10 21:00:00,2024-09-10 22:40:00,100,ViewLectures
102068,250,1264,2024-10-02 13:00:00,2024-10-02 14:44:00,104,ViewLectures
102069,250,1264,2024-10-05 22:00:00,2024-10-05 22:56:00,56,ViewGrades
102070,250,1264,2024-10-10 06:00:00,2024-10-10 08:18:00,138,ViewGrades
102071,250,1264,2024-09-18 06:00:00,2024-09-18 06:32:00,32,ViewGrades
102072,250,1264,2024-11-16 15:00:00,2024-11-16 16:40:00,100,ViewGrades
102073,250,1264,2024-12-05 11:00:00,2024-12-05 12:41:00,101,ViewLectures
102074,250,1264,2024-10-26 21:00:00,2024-10-26 22:09:00,69,ViewLectures
102075,250,1264,2024-11-23 20:00:00,2024-11-23 20:57:00,57,Discussion
102076,250,1264,2024-10-27 22:00:00,2024-10-27 22:52:00,52,Other
102077,250,1264,2024-09-16 22:00:00,2024-09-16 23:43:00,103,Discussion
102078,250,1264,2024-10-01 14:00:00,2024-10-01 15:23:00,83,SubmitAssignment
102079,250,1264,2024-10-09 00:00:00,2024-10-09 01:38:00,98,SubmitAssignment
102080,250,1264,2024-10-18 09:00:00,2024-10-18 10:23:00,83,ViewLectures
102081,250,1264,2024-12-13 21:00:00,2024-12-13 23:47:00,167,ViewGrades
102082,250,1264,2024-11-24 11:00:00,2024-11-24 13:24:00,144,SubmitAssignment
102083,250,1264,2024-10-31 06:00:00,2024-10-31 08:51:00,171,Other
102084,250,1264,2024-09-18 17:00:00,2024-09-18 19:29:00,149,Discussion
102085,250,1264,2024-10-19 07:00:00,2024-10-19 08:23:00,83,Discussion
102086,250,1264,2024-10-03 01:00:00,2024-10-03 01:57:00,57,Other
102087,250,1264,2024-12-09 22:00:00,2024-12-09 22:48:00,48,Other
102088,250,1264,2024-09-08 13:00:00,2024-09-08 13:37:00,37,Discussion
102089,250,1264,2024-11-12 19:00:00,2024-11-12 21:50:00,170,Other
102090,250,1264,2024-09-08 01:00:00,2024-09-08 03:45:00,165,SubmitAssignment
102091,250,1264,2024-12-06 08:00:00,2024-12-06 10:43:00,163,Discussion
102092,250,1264,2024-11-08 08:00:00,2024-11-08 09:23:00,83,ViewGrades
102093,250,1264,2024-10-01 03:00:00,2024-10-01 04:30:00,90,ViewLectures
102094,250,1264,2024-11-08 01:00:00,2024-11-08 03:59:00,179,ViewLectures
102095,250,1264,2024-10-24 13:00:00,2024-10-24 15:16:00,136,Discussion
102096,250,1264,2024-09-16 00:00:00,2024-09-16 02:46:00,166,Discussion
102097,250,1264,2024-11-28 22:00:00,2024-11-28 23:32:00,92,Discussion
102098,250,1264,2024-09-25 08:00:00,2024-09-25 08:58:00,58,ViewGrades
102099,250,1264,2024-09-06 17:00:00,2024-09-06 19:35:00,155,Discussion
102100,250,1264,2024-09-19 05:00:00,2024-09-19 05:28:00,28,Discussion
102101,250,1264,2024-10-22 08:00:00,2024-10-22 10:41:00,161,Discussion
102102,250,1264,2024-09-01 10:00:00,2024-09-01 12:01:00,121,ViewGrades
102103,250,1264,2024-11-25 02:00:00,2024-11-25 04:23:00,143,SubmitAssignment
102104,250,1264,2024-10-17 07:00:00,2024-10-17 07:42:00,42,ViewGrades
102105,250,1264,2024-10-04 14:00:00,2024-10-04 16:09:00,129,ViewGrades
102106,250,1264,2024-10-24 01:00:00,2024-10-24 02:49:00,109,Other
102107,250,1264,2024-11-18 05:00:00,2024-11-18 07:58:00,178,ViewLectures
102108,250,1264,2024-09-22 02:00:00,2024-09-22 03:19:00,79,Discussion
102109,250,1264,2024-12-04 09:00:00,2024-12-04 11:54:00,174,ViewGrades
102110,250,1264,2024-09-19 06:00:00,2024-09-19 07:25:00,85,ViewGrades
102111,250,1264,2024-10-21 00:00:00,2024-10-21 01:48:00,108,ViewLectures
102112,250,1264,2024-10-22 10:00:00,2024-10-22 10:46:00,46,ViewLectures
102113,250,1264,2024-12-07 00:00:00,2024-12-07 00:15:00,15,Other
102114,250,1264,2024-11-04 18:00:00,2024-11-04 20:32:00,152,SubmitAssignment
102115,250,1264,2024-11-26 16:00:00,2024-11-26 18:16:00,136,Discussion
102116,250,1264,2024-10-16 02:00:00,2024-10-16 03:52:00,112,Discussion
102117,250,1264,2024-12-05 14:00:00,2024-12-05 15:37:00,97,ViewGrades
102118,250,1264,2024-12-13 17:00:00,2024-12-13 17:17:00,17,SubmitAssignment
102119,250,1264,2024-12-11 18:00:00,2024-12-11 20:18:00,138,ViewLectures
102120,250,1264,2024-12-07 07:00:00,2024-12-07 08:09:00,69,SubmitAssignment
102121,250,1264,2024-11-12 04:00:00,2024-11-12 04:38:00,38,Discussion
102122,250,1264,2024-11-15 05:00:00,2024-11-15 05:44:00,44,ViewLectures
102123,250,1264,2024-12-07 15:00:00,2024-12-07 17:48:00,168,ViewLectures
102124,250,1264,2024-11-27 14:00:00,2024-11-27 15:52:00,112,ViewGrades
102125,250,1264,2024-12-07 10:00:00,2024-12-07 11:12:00,72,ViewGrades
102126,250,1264,2024-09-15 10:00:00,2024-09-15 12:56:00,176,Discussion
102127,250,1264,2024-11-06 17:00:00,2024-11-06 17:59:00,59,ViewGrades
102128,250,1264,2024-11-03 16:00:00,2024-11-03 17:12:00,72,Other
102129,250,1264,2024-09-21 19:00:00,2024-09-21 19:50:00,50,Discussion
102130,250,1264,2024-09-15 06:00:00,2024-09-15 07:35:00,95,Other
102131,250,1264,2024-10-06 15:00:00,2024-10-06 16:33:00,93,ViewGrades
102132,250,1265,2024-11-28 06:00:00,2024-11-28 08:23:00,143,SubmitAssignment
102133,250,1265,2024-11-11 18:00:00,2024-11-11 19:44:00,104,Other
102134,250,1265,2024-11-15 07:00:00,2024-11-15 07:29:00,29,Other
102135,250,1265,2024-11-06 06:00:00,2024-11-06 08:38:00,158,Discussion
102136,250,1265,2024-10-09 06:00:00,2024-10-09 06:41:00,41,Discussion
102137,250,1265,2024-12-08 11:00:00,2024-12-08 13:23:00,143,Discussion
102138,250,1265,2024-11-03 20:00:00,2024-11-03 21:07:00,67,Other
102139,250,1265,2024-11-08 08:00:00,2024-11-08 09:32:00,92,SubmitAssignment
102140,250,1265,2024-09-29 23:00:00,2024-09-29 23:55:00,55,ViewGrades
102141,250,1265,2024-09-07 21:00:00,2024-09-07 21:32:00,32,ViewLectures
102142,250,1265,2024-10-23 04:00:00,2024-10-23 05:43:00,103,ViewGrades
102143,250,1265,2024-09-21 08:00:00,2024-09-21 08:19:00,19,Discussion
102144,250,1265,2024-09-26 19:00:00,2024-09-26 21:27:00,147,Other
102145,250,1265,2024-09-03 23:00:00,2024-09-04 01:44:00,164,SubmitAssignment
102146,250,1265,2024-11-08 05:00:00,2024-11-08 07:30:00,150,Discussion
102147,250,1265,2024-10-22 03:00:00,2024-10-22 04:20:00,80,Other
102148,250,1265,2024-10-18 13:00:00,2024-10-18 14:05:00,65,ViewLectures
102149,250,1265,2024-11-12 12:00:00,2024-11-12 14:19:00,139,Discussion
102150,250,1265,2024-10-01 04:00:00,2024-10-01 05:20:00,80,SubmitAssignment
102151,250,1265,2024-11-13 21:00:00,2024-11-13 23:53:00,173,Other
102152,250,1265,2024-10-24 11:00:00,2024-10-24 13:38:00,158,SubmitAssignment
102153,250,1265,2024-11-18 01:00:00,2024-11-18 02:15:00,75,SubmitAssignment
102154,250,1265,2024-11-08 18:00:00,2024-11-08 18:32:00,32,SubmitAssignment
102155,250,1265,2024-11-08 00:00:00,2024-11-08 01:42:00,102,ViewGrades
102156,250,1265,2024-09-18 15:00:00,2024-09-18 17:55:00,175,ViewLectures
102157,250,1265,2024-10-23 17:00:00,2024-10-23 19:38:00,158,Other
102158,250,1265,2024-09-30 05:00:00,2024-09-30 05:17:00,17,Discussion
102159,250,1265,2024-12-03 19:00:00,2024-12-03 21:49:00,169,Discussion
102160,250,1265,2024-12-10 14:00:00,2024-12-10 16:48:00,168,Discussion
102161,250,1265,2024-11-17 02:00:00,2024-11-17 03:20:00,80,ViewGrades
102162,250,1265,2024-10-07 22:00:00,2024-10-08 00:14:00,134,SubmitAssignment
102163,250,1265,2024-09-02 00:00:00,2024-09-02 02:12:00,132,ViewLectures
102164,250,1265,2024-09-13 08:00:00,2024-09-13 08:30:00,30,ViewGrades
102165,250,1265,2024-09-08 09:00:00,2024-09-08 11:40:00,160,Discussion
102166,250,1265,2024-12-07 15:00:00,2024-12-07 16:04:00,64,Other
102167,250,1265,2024-10-18 20:00:00,2024-10-18 22:13:00,133,Discussion
102168,250,1265,2024-10-30 05:00:00,2024-10-30 06:49:00,109,ViewLectures
102169,250,1265,2024-10-14 10:00:00,2024-10-14 12:35:00,155,SubmitAssignment
102170,250,1265,2024-09-22 22:00:00,2024-09-23 00:50:00,170,SubmitAssignment
102171,250,1265,2024-10-18 16:00:00,2024-10-18 18:30:00,150,SubmitAssignment
102172,250,1265,2024-11-12 03:00:00,2024-11-12 04:16:00,76,ViewGrades
102173,250,1265,2024-12-08 01:00:00,2024-12-08 02:39:00,99,SubmitAssignment
102174,250,1265,2024-10-18 17:00:00,2024-10-18 17:17:00,17,Other
102175,250,1265,2024-11-11 17:00:00,2024-11-11 18:43:00,103,Discussion
102176,250,1265,2024-09-30 18:00:00,2024-09-30 20:52:00,172,ViewLectures
102177,250,1265,2024-10-28 19:00:00,2024-10-28 20:41:00,101,SubmitAssignment
102178,250,1265,2024-09-23 03:00:00,2024-09-23 05:31:00,151,Other
102179,250,1265,2024-11-30 15:00:00,2024-11-30 17:44:00,164,Other
102180,250,1265,2024-09-18 14:00:00,2024-09-18 14:19:00,19,SubmitAssignment
102181,250,1265,2024-12-14 14:00:00,2024-12-14 15:35:00,95,SubmitAssignment
102182,250,1265,2024-09-26 19:00:00,2024-09-26 21:12:00,132,ViewGrades
102183,250,1265,2024-11-05 07:00:00,2024-11-05 09:19:00,139,Other
102184,250,1265,2024-09-15 00:00:00,2024-09-15 00:49:00,49,Other
102185,250,1265,2024-09-01 19:00:00,2024-09-01 20:47:00,107,ViewLectures
102186,250,1265,2024-10-30 23:00:00,2024-10-31 00:31:00,91,Other
102187,250,1265,2024-09-25 19:00:00,2024-09-25 20:35:00,95,Other
102188,250,1265,2024-12-04 00:00:00,2024-12-04 01:54:00,114,Other
102189,250,1265,2024-11-25 18:00:00,2024-11-25 20:47:00,167,Other
102190,250,1265,2024-09-07 14:00:00,2024-09-07 15:19:00,79,Discussion
102191,250,1265,2024-09-11 06:00:00,2024-09-11 07:29:00,89,Discussion
102192,250,1265,2024-11-02 11:00:00,2024-11-02 13:04:00,124,SubmitAssignment
102193,250,1265,2024-09-22 05:00:00,2024-09-22 07:28:00,148,ViewLectures
102194,250,1265,2024-09-08 19:00:00,2024-09-08 20:33:00,93,ViewGrades
102195,250,1265,2024-12-09 08:00:00,2024-12-09 10:49:00,169,ViewLectures
102196,250,1265,2024-09-28 12:00:00,2024-09-28 14:34:00,154,Other
102197,250,1265,2024-09-17 05:00:00,2024-09-17 07:06:00,126,Discussion
102198,250,1265,2024-09-16 00:00:00,2024-09-16 00:20:00,20,SubmitAssignment
102199,250,1265,2024-11-27 08:00:00,2024-11-27 08:49:00,49,ViewGrades
102200,250,1265,2024-11-07 13:00:00,2024-11-07 13:31:00,31,ViewGrades
102201,250,1265,2024-09-27 15:00:00,2024-09-27 16:21:00,81,SubmitAssignment
102202,250,1265,2024-09-20 07:00:00,2024-09-20 08:57:00,117,Other
102203,250,1265,2024-09-26 23:00:00,2024-09-27 01:07:00,127,Other
102204,250,1265,2024-09-28 16:00:00,2024-09-28 16:29:00,29,Discussion
102205,250,1265,2024-09-08 06:00:00,2024-09-08 08:37:00,157,Discussion
102206,250,1265,2024-12-07 16:00:00,2024-12-07 18:44:00,164,SubmitAssignment
102207,250,1265,2024-09-21 07:00:00,2024-09-21 08:15:00,75,Discussion
102208,250,1265,2024-09-05 09:00:00,2024-09-05 09:26:00,26,ViewLectures
102209,250,1265,2024-09-11 02:00:00,2024-09-11 03:01:00,61,Other
102210,250,1265,2024-12-03 11:00:00,2024-12-03 11:55:00,55,Other
102211,250,1265,2024-10-23 16:00:00,2024-10-23 18:17:00,137,ViewGrades
102212,250,1265,2024-09-10 08:00:00,2024-09-10 09:40:00,100,Discussion
102213,250,1265,2024-10-26 05:00:00,2024-10-26 05:34:00,34,Other
102214,250,1265,2024-11-18 20:00:00,2024-11-18 21:01:00,61,Other
102215,250,1265,2024-11-21 03:00:00,2024-11-21 05:30:00,150,ViewLectures
102216,250,1265,2024-12-08 23:00:00,2024-12-08 23:48:00,48,ViewLectures
102217,250,1265,2024-11-13 12:00:00,2024-11-13 12:54:00,54,SubmitAssignment
102218,250,1265,2024-10-31 21:00:00,2024-10-31 23:54:00,174,ViewLectures
102219,250,1265,2024-12-11 19:00:00,2024-12-11 21:52:00,172,Discussion
102220,250,1265,2024-12-05 08:00:00,2024-12-05 09:29:00,89,SubmitAssignment
102221,250,1265,2024-10-18 03:00:00,2024-10-18 05:25:00,145,ViewLectures
102222,250,1265,2024-12-12 15:00:00,2024-12-12 15:39:00,39,Other
102223,250,1265,2024-09-15 08:00:00,2024-09-15 10:59:00,179,SubmitAssignment
102224,250,1265,2024-10-13 09:00:00,2024-10-13 11:06:00,126,Discussion
102225,250,1265,2024-09-20 02:00:00,2024-09-20 03:34:00,94,ViewGrades
102226,250,1265,2024-11-23 14:00:00,2024-11-23 15:01:00,61,Discussion
102227,250,1265,2024-10-31 15:00:00,2024-10-31 15:29:00,29,Discussion
102228,250,1265,2024-09-02 11:00:00,2024-09-02 13:22:00,142,SubmitAssignment
102229,250,1265,2024-12-03 11:00:00,2024-12-03 12:35:00,95,Other
102230,250,1265,2024-11-16 17:00:00,2024-11-16 19:14:00,134,ViewGrades
102231,250,1266,2024-12-01 04:00:00,2024-12-01 06:49:00,169,ViewLectures
102232,250,1266,2024-11-26 12:00:00,2024-11-26 13:35:00,95,Discussion
102233,250,1266,2024-12-03 04:00:00,2024-12-03 05:31:00,91,ViewLectures
102234,250,1266,2024-10-05 20:00:00,2024-10-05 20:27:00,27,SubmitAssignment
102235,250,1266,2024-09-04 07:00:00,2024-09-04 07:28:00,28,SubmitAssignment
102236,250,1266,2024-09-16 19:00:00,2024-09-16 21:53:00,173,SubmitAssignment
102237,250,1266,2024-10-16 14:00:00,2024-10-16 14:16:00,16,SubmitAssignment
102238,250,1266,2024-10-03 02:00:00,2024-10-03 02:20:00,20,Discussion
102239,250,1266,2024-10-27 01:00:00,2024-10-27 03:36:00,156,ViewLectures
102240,250,1266,2024-12-03 09:00:00,2024-12-03 09:41:00,41,ViewGrades
102241,250,1266,2024-09-20 07:00:00,2024-09-20 08:45:00,105,ViewGrades
102242,250,1266,2024-10-10 18:00:00,2024-10-10 20:16:00,136,ViewGrades
102243,250,1266,2024-10-13 03:00:00,2024-10-13 04:21:00,81,Discussion
102244,250,1266,2024-10-01 08:00:00,2024-10-01 10:41:00,161,Other
102245,250,1266,2024-09-29 15:00:00,2024-09-29 15:41:00,41,ViewLectures
102246,250,1266,2024-10-29 00:00:00,2024-10-29 00:28:00,28,Discussion
102247,250,1266,2024-10-26 13:00:00,2024-10-26 15:14:00,134,SubmitAssignment
102248,250,1266,2024-10-23 06:00:00,2024-10-23 06:56:00,56,ViewGrades
102249,250,1266,2024-09-26 01:00:00,2024-09-26 03:02:00,122,ViewLectures
102250,250,1266,2024-10-18 10:00:00,2024-10-18 12:37:00,157,ViewLectures
102251,250,1266,2024-12-01 16:00:00,2024-12-01 18:25:00,145,Other
102252,250,1266,2024-09-04 08:00:00,2024-09-04 10:37:00,157,ViewGrades
102253,250,1266,2024-10-29 22:00:00,2024-10-30 00:21:00,141,ViewGrades
102254,250,1266,2024-11-25 06:00:00,2024-11-25 08:22:00,142,ViewGrades
102255,250,1266,2024-09-08 20:00:00,2024-09-08 22:17:00,137,ViewLectures
102256,250,1266,2024-09-30 08:00:00,2024-09-30 10:15:00,135,ViewLectures
102257,250,1266,2024-11-27 10:00:00,2024-11-27 11:51:00,111,Discussion
102258,250,1266,2024-10-26 13:00:00,2024-10-26 15:07:00,127,Discussion
102259,250,1266,2024-09-07 16:00:00,2024-09-07 17:38:00,98,ViewLectures
102260,250,1266,2024-09-28 19:00:00,2024-09-28 20:38:00,98,Discussion
102261,250,1266,2024-10-29 10:00:00,2024-10-29 12:36:00,156,Discussion
102262,250,1266,2024-10-04 20:00:00,2024-10-04 21:44:00,104,Other
102263,250,1266,2024-10-01 14:00:00,2024-10-01 14:57:00,57,SubmitAssignment
102264,250,1266,2024-11-25 19:00:00,2024-11-25 21:17:00,137,ViewLectures
102265,250,1266,2024-12-02 05:00:00,2024-12-02 07:16:00,136,ViewGrades
102266,250,1266,2024-11-17 10:00:00,2024-11-17 11:57:00,117,ViewGrades
102267,250,1266,2024-11-10 23:00:00,2024-11-11 00:20:00,80,ViewLectures
102268,250,1266,2024-09-12 15:00:00,2024-09-12 16:43:00,103,ViewGrades
102269,250,1266,2024-10-09 13:00:00,2024-10-09 15:25:00,145,ViewLectures
102270,250,1266,2024-12-01 06:00:00,2024-12-01 08:54:00,174,SubmitAssignment
102271,250,1266,2024-09-16 03:00:00,2024-09-16 04:06:00,66,SubmitAssignment
102272,250,1266,2024-09-20 06:00:00,2024-09-20 07:34:00,94,SubmitAssignment
102273,250,1266,2024-09-15 15:00:00,2024-09-15 17:53:00,173,Discussion
102274,250,1266,2024-11-20 08:00:00,2024-11-20 09:07:00,67,ViewLectures
102275,250,1266,2024-09-18 14:00:00,2024-09-18 16:18:00,138,Other
102276,250,1266,2024-10-19 10:00:00,2024-10-19 11:14:00,74,Other
102277,250,1266,2024-10-06 03:00:00,2024-10-06 04:59:00,119,Other
102278,250,1266,2024-10-02 05:00:00,2024-10-02 07:06:00,126,ViewLectures
102279,250,1266,2024-12-13 23:00:00,2024-12-14 00:20:00,80,ViewGrades
102280,250,1266,2024-09-11 09:00:00,2024-09-11 11:53:00,173,ViewGrades
102281,250,1266,2024-09-01 13:00:00,2024-09-01 14:51:00,111,ViewLectures
102282,250,1266,2024-09-27 16:00:00,2024-09-27 16:36:00,36,ViewGrades
102283,250,1266,2024-10-03 02:00:00,2024-10-03 03:42:00,102,ViewLectures
102284,250,1266,2024-09-26 00:00:00,2024-09-26 02:45:00,165,Other
102285,250,1266,2024-09-19 12:00:00,2024-09-19 12:51:00,51,Other
102286,250,1266,2024-11-27 21:00:00,2024-11-27 23:46:00,166,Discussion
102287,250,1266,2024-11-15 08:00:00,2024-11-15 09:16:00,76,Other
102288,250,1266,2024-11-02 07:00:00,2024-11-02 08:01:00,61,Discussion
102289,250,1266,2024-09-23 10:00:00,2024-09-23 12:13:00,133,ViewLectures
102290,250,1266,2024-10-24 00:00:00,2024-10-24 01:39:00,99,Discussion
102291,250,1266,2024-09-25 15:00:00,2024-09-25 17:32:00,152,Discussion
102292,250,1266,2024-11-05 12:00:00,2024-11-05 13:17:00,77,ViewGrades
102293,250,1266,2024-12-01 04:00:00,2024-12-01 06:06:00,126,ViewGrades
102294,250,1266,2024-12-13 20:00:00,2024-12-13 22:43:00,163,Discussion
102295,250,1266,2024-11-04 16:00:00,2024-11-04 18:23:00,143,ViewLectures
102296,250,1266,2024-12-07 06:00:00,2024-12-07 07:29:00,89,Discussion
102297,250,1266,2024-11-30 09:00:00,2024-11-30 10:36:00,96,Discussion
102298,250,1266,2024-10-30 14:00:00,2024-10-30 16:25:00,145,ViewGrades
102299,250,1266,2024-10-06 22:00:00,2024-10-06 22:25:00,25,ViewLectures
102300,250,1266,2024-11-05 06:00:00,2024-11-05 07:11:00,71,ViewLectures
102301,250,1266,2024-09-02 15:00:00,2024-09-02 16:38:00,98,SubmitAssignment
102302,250,1266,2024-12-05 21:00:00,2024-12-05 23:26:00,146,Discussion
102303,250,1266,2024-12-05 05:00:00,2024-12-05 07:38:00,158,ViewLectures
102304,250,1266,2024-10-22 13:00:00,2024-10-22 14:46:00,106,ViewLectures
102305,250,1266,2024-12-13 06:00:00,2024-12-13 06:31:00,31,ViewGrades
102306,250,1266,2024-10-16 05:00:00,2024-10-16 06:39:00,99,ViewLectures
102307,250,1266,2024-10-31 14:00:00,2024-10-31 14:16:00,16,ViewLectures
102308,250,1266,2024-10-26 15:00:00,2024-10-26 16:03:00,63,Other
102309,250,1266,2024-12-10 18:00:00,2024-12-10 18:45:00,45,ViewGrades
102310,250,1266,2024-09-10 08:00:00,2024-09-10 09:52:00,112,ViewLectures
102311,250,1266,2024-09-21 07:00:00,2024-09-21 08:44:00,104,SubmitAssignment
102312,250,1266,2024-11-25 19:00:00,2024-11-25 20:09:00,69,Discussion
102313,250,1266,2024-10-26 21:00:00,2024-10-26 21:45:00,45,Discussion
102314,250,1266,2024-10-19 08:00:00,2024-10-19 09:30:00,90,SubmitAssignment
102315,250,1266,2024-11-02 17:00:00,2024-11-02 19:44:00,164,Other
102316,250,1267,2024-10-27 00:00:00,2024-10-27 01:49:00,109,SubmitAssignment
102317,250,1267,2024-09-06 21:00:00,2024-09-06 21:54:00,54,Discussion
