GradeEventID,EnrollmentID,AssignmentType,AssignmentName,PointsEarned,PointsPossible,SubmissionDate,IsOnTime,GradePercentage
5818,744,Homework,technology,44.71,100,2025-11-06 16:41:00.183504,True,44.71
5819,744,Homework,land,55.43,100,2025-11-06 16:41:00.183504,True,55.43
5820,744,Midterm,vote,65.54,100,2025-11-06 16:41:00.184503,True,65.54
5821,744,Homework,leader,51.69,100,2025-11-06 16:41:00.184503,True,51.69
5822,744,FinalExam,forget,29.4,100,2025-11-06 16:41:00.184503,True,29.4
5823,744,Midterm,between,63.24,100,2025-11-06 16:41:00.184503,True,63.24
5824,744,Midterm,leave,77.51,100,2025-11-06 16:41:00.184503,True,77.51
9888,1264,Project,tonight,91.56,100,2025-11-06 16:41:00.522017,True,91.56
9889,1264,Homework,herself,100.0,100,2025-11-06 16:41:00.522017,True,100.0
9890,1264,Midterm,decision,92.45,100,2025-11-06 16:41:00.522017,True,92.45
9891,1264,Project,plant,84.49,100,2025-11-06 16:41:00.522017,True,84.49
9892,1264,Homework,manager,79.56,100,2025-11-06 16:41:00.522017,True,79.56
9893,1264,Homework,sure,89.28,100,2025-11-06 16:41:00.522017,False,89.28
9894,1264,Project,hour,86.78,100,2025-11-06 16:41:00.523057,True,86.78
9895,1264,FinalExam,full,94.85,100,2025-11-06 16:41:00.523057,True,94.85
9896,1264,Midterm,wish,91.89,100,2025-11-06 16:41:00.523057,True,91.89
9897,1264,Homework,technology,88.06,100,2025-11-06 16:41:00.523057,True,88.06
9898,1264,Homework,task,71.06,100,2025-11-06 16:41:00.523057,True,71.06
9899,1265,FinalExam,technology,94.98,100,2025-11-06 16:41:00.523057,True,94.98
9900,1265,Project,Republican,79.88,100,2025-11-06 16:41:00.523057,True,79.88
9901,1265,Homework,response,81.48,100,2025-11-06 16:41:00.523057,True,81.48
9902,1265,Midterm,rule,92.12,100,2025-11-06 16:41:00.523057,True,92.12
9903,1265,Homework,charge,100.0,100,2025-11-06 16:41:00.523057,False,100.0
9904,1265,FinalExam,without,92.88,100,2025-11-06 16:41:00.523057,True,92.88
9905,1265,Quiz,move,89.63,100,2025-11-06 16:41:00.523057,True,89.63
9906,1265,Project,back,91.66,100,2025-11-06 16:41:00.523057,True,91.66
9907,1265,Quiz,what,86.35,100,2025-11-06 16:41:00.523057,False,86.35
9908,1266,FinalExam,hit,80.71,100,2025-11-06 16:41:00.524008,True,80.71
9909,1266,Homework,community,85.76,100,2025-11-06 16:41:00.524008,True,85.76
9910,1266,Midterm,strategy,80.32,100,2025-11-06 16:41:00.524008,True,80.32
9911,1266,Homework,smile,86.17,100,2025-11-06 16:41:00.524008,True,86.17
9912,1266,Midterm,effect,100.0,100,2025-11-06 16:41:00.524008,True,100.0
9913,1266,Midterm,value,80.46,100,2025-11-06 16:41:00.524008,True,80.46
9914,1267,Midterm,marriage,71.85,100,2025-11-06 16:41:00.524008,True,71.85
9915,1267,Midterm,could,87.76,100,2025-11-06 16:41:00.524008,True,87.76
9916,1267,Homework,bring,82.66,100,2025-11-06 16:41:00.524008,True,82.66
9917,1267,FinalExam,energy,76.82,100,2025-11-06 16:41:00.524008,True,76.82
9918,1267,Project,once,74.79,100,2025-11-06 16:41:00.524008,True,74.79
9919,1267,Midterm,high,87.07,100,2025-11-06 16:41:00.524008,True,87.07
9920,1267,FinalExam,field,100.0,100,2025-11-06 16:41:00.525017,True,100.0
9921,1267,Quiz,knowledge,84.02,100,2025-11-06 16:41:00.525017,True,84.02
9922,1267,Quiz,rock,94.65,100,2025-11-06 16:41:00.525017,True,94.65
9923,1267,Homework,dream,75.19,100,2025-11-06 16:41:00.525017,True,75.19
9924,1267,Midterm,foreign,75.88,100,2025-11-06 16:41:00.525017,True,75.88
14760,1887,Homework,work,84.63,100,2025-11-06 16:41:00.916113,True,84.63
14761,1887,FinalExam,middle,79.7,100,2025-11-06 16:41:00.916113,True,79.7
14762,1887,Midterm,pass,92.03,100,2025-11-06 16:41:00.916113,True,92.03
14763,1887,FinalExam,clear,89.25,100,2025-11-06 16:41:00.916113,True,89.25
14764,1887,Project,chair,73.28,100,2025-11-06 16:41:00.917130,True,73.28
14765,1887,Quiz,service,85.48,100,2025-11-06 16:41:00.917130,True,85.48
14766,1887,FinalExam,trade,92.63,100,2025-11-06 16:41:00.917130,True,92.63
14767,1887,FinalExam,stage,87.09,100,2025-11-06 16:41:00.917130,True,87.09
14768,1887,FinalExam,reflect,93.53,100,2025-11-06 16:41:00.917130,True,93.53
14769,1888,FinalExam,blue,79.98,100,2025-11-06 16:41:00.917646,True,79.98
14770,1888,Midterm,throughout,75.79,100,2025-11-06 16:41:00.917646,True,75.79
14771,1888,Project,study,75.4,100,2025-11-06 16:41:00.917646,True,75.4
14772,1888,Homework,sing,90.7,100,2025-11-06 16:41:00.917646,True,90.7
14773,1888,Quiz,coach,82.74,100,2025-11-06 16:41:00.917646,False,82.74
14774,1888,Midterm,fear,85.48,100,2025-11-06 16:41:00.917646,True,85.48
14775,1888,Homework,understand,83.67,100,2025-11-06 16:41:00.917646,True,83.67
14776,1889,Quiz,picture,100.0,100,2025-11-06 16:41:00.917646,False,100.0
14777,1889,FinalExam,fact,88.72,100,2025-11-06 16:41:00.917646,True,88.72
14778,1889,Project,kind,78.21,100,2025-11-06 16:41:00.917646,True,78.21
14779,1889,Homework,wear,94.15,100,2025-11-06 16:41:00.917646,True,94.15
14780,1889,Homework,deal,100.0,100,2025-11-06 16:41:00.917646,True,100.0
14781,1889,Homework,meet,84.75,100,2025-11-06 16:41:00.917646,True,84.75
14782,1889,Project,return,77.06,100,2025-11-06 16:41:00.917646,True,77.06
14783,1889,FinalExam,war,72.15,100,2025-11-06 16:41:00.917646,True,72.15
14784,1889,Midterm,need,84.76,100,2025-11-06 16:41:00.918661,True,84.76
14785,1889,Project,board,74.38,100,2025-11-06 16:41:00.918661,False,74.38
14786,1889,Homework,run,87.36,100,2025-11-06 16:41:00.918661,True,87.36
14787,1890,Homework,quickly,83.85,100,2025-11-06 16:41:00.918661,True,83.85
14788,1890,Project,myself,85.66,100,2025-11-06 16:41:00.918661,False,85.66
14789,1890,FinalExam,meeting,80.37,100,2025-11-06 16:41:00.918661,True,80.37
14790,1890,Homework,media,77.25,100,2025-11-06 16:41:00.918661,True,77.25
14791,1890,FinalExam,protect,75.35,100,2025-11-06 16:41:00.918661,False,75.35
14792,1891,Homework,everything,82.78,100,2025-11-06 16:41:00.919663,True,82.78
14793,1891,FinalExam,effect,84.13,100,2025-11-06 16:41:00.919663,True,84.13
14794,1891,Midterm,table,97.47,100,2025-11-06 16:41:00.919663,True,97.47
14795,1891,Project,claim,85.19,100,2025-11-06 16:41:00.919663,True,85.19
14796,1891,Quiz,face,83.83,100,2025-11-06 16:41:00.919663,True,83.83
14797,1891,Project,until,100.0,100,2025-11-06 16:41:00.919663,True,100.0
14798,1891,Homework,rest,86.91,100,2025-11-06 16:41:00.919663,True,86.91
16488,2100,Homework,threat,87.77,100,2025-11-06 16:41:01.062253,True,87.77
16489,2100,Homework,rate,82.8,100,2025-11-06 16:41:01.063333,True,82.8
16490,2100,Quiz,avoid,83.69,100,2025-11-06 16:41:01.063333,False,83.69
16491,2100,Project,them,80.27,100,2025-11-06 16:41:01.063333,True,80.27
16492,2100,Homework,term,95.4,100,2025-11-06 16:41:01.063333,False,95.4
16493,2100,Midterm,tonight,86.79,100,2025-11-06 16:41:01.063333,True,86.79
16494,2100,Quiz,down,80.78,100,2025-11-06 16:41:01.063333,True,80.78
16495,2101,Quiz,culture,89.65,100,2025-11-06 16:41:01.063333,True,89.65
16496,2101,Homework,activity,91.75,100,2025-11-06 16:41:01.063333,True,91.75
16497,2101,Quiz,new,100.0,100,2025-11-06 16:41:01.063333,True,100.0
16498,2101,Midterm,character,73.98,100,2025-11-06 16:41:01.063333,True,73.98
16499,2101,FinalExam,treatment,67.65,100,2025-11-06 16:41:01.063333,True,67.65
16500,2101,FinalExam,action,77.72,100,2025-11-06 16:41:01.063333,True,77.72
16501,2101,Quiz,lawyer,85.87,100,2025-11-06 16:41:01.063333,True,85.87
16502,2101,Quiz,point,84.24,100,2025-11-06 16:41:01.063333,False,84.24
16503,2102,Quiz,wait,70.41,100,2025-11-06 16:41:01.063333,False,70.41
16504,2102,Quiz,his,80.4,100,2025-11-06 16:41:01.063333,True,80.4
16505,2102,Midterm,still,78.9,100,2025-11-06 16:41:01.063333,True,78.9
16506,2102,Midterm,soon,90.29,100,2025-11-06 16:41:01.063333,True,90.29
16507,2102,Project,stock,89.39,100,2025-11-06 16:41:01.063333,True,89.39
16508,2102,Project,deep,78.4,100,2025-11-06 16:41:01.063333,True,78.4
16509,2102,Project,try,82.08,100,2025-11-06 16:41:01.063333,True,82.08
16510,2102,Midterm,bit,84.85,100,2025-11-06 16:41:01.063333,True,84.85
16511,2102,Homework,wish,87.67,100,2025-11-06 16:41:01.063333,True,87.67
16512,2103,Midterm,scene,88.34,100,2025-11-06 16:41:01.064873,True,88.34
16513,2103,Homework,past,83.23,100,2025-11-06 16:41:01.064873,True,83.23
16514,2103,Quiz,soldier,90.89,100,2025-11-06 16:41:01.064873,True,90.89
16515,2103,FinalExam,power,72.29,100,2025-11-06 16:41:01.064873,False,72.29
16516,2103,FinalExam,scientist,92.64,100,2025-11-06 16:41:01.064873,False,92.64
16517,2103,FinalExam,shake,95.43,100,2025-11-06 16:41:01.064873,True,95.43
16518,2103,Quiz,court,87.86,100,2025-11-06 16:41:01.064873,True,87.86
16519,2103,Project,room,100.0,100,2025-11-06 16:41:01.064873,True,100.0
16520,2103,Midterm,even,81.13,100,2025-11-06 16:41:01.064873,True,81.13
16521,2103,Quiz,spring,82.06,100,2025-11-06 16:41:01.064873,True,82.06
16522,2103,Midterm,single,77.31,100,2025-11-06 16:41:01.064873,True,77.31
16820,2145,Midterm,cut,92.16,100,2025-11-06 16:41:01.090101,True,92.16
16821,2145,Homework,friend,85.47,100,2025-11-06 16:41:01.090101,True,85.47
16822,2145,FinalExam,young,73.23,100,2025-11-06 16:41:01.090101,True,73.23
16823,2145,Midterm,every,75.12,100,2025-11-06 16:41:01.090101,True,75.12
16824,2145,Project,choice,80.27,100,2025-11-06 16:41:01.090101,True,80.27
16825,2145,Midterm,tax,83.94,100,2025-11-06 16:41:01.090101,True,83.94
16826,2146,FinalExam,provide,71.28,100,2025-11-06 16:41:01.091060,False,71.28
16827,2146,Homework,policy,86.62,100,2025-11-06 16:41:01.091060,True,86.62
16828,2146,Quiz,control,91.34,100,2025-11-06 16:41:01.091060,True,91.34
16829,2146,FinalExam,trade,91.07,100,2025-11-06 16:41:01.091060,True,91.07
16830,2146,Homework,kind,87.23,100,2025-11-06 16:41:01.091060,True,87.23
16831,2146,Midterm,affect,92.34,100,2025-11-06 16:41:01.091060,True,92.34
16832,2147,Midterm,ready,78.61,100,2025-11-06 16:41:01.091060,True,78.61
16833,2147,Homework,human,95.05,100,2025-11-06 16:41:01.091060,True,95.05
16834,2147,Quiz,left,75.9,100,2025-11-06 16:41:01.091060,False,75.9
16835,2147,Project,wish,86.0,100,2025-11-06 16:41:01.091060,True,86.0
16836,2147,Project,response,100.0,100,2025-11-06 16:41:01.091060,True,100.0
16837,2147,Project,activity,85.46,100,2025-11-06 16:41:01.091060,True,85.46
16838,2147,Quiz,network,74.68,100,2025-11-06 16:41:01.091060,True,74.68
16839,2147,Homework,natural,89.2,100,2025-11-06 16:41:01.092100,True,89.2
16840,2147,FinalExam,town,61.01,100,2025-11-06 16:41:01.092100,True,61.01
16841,2147,Project,whatever,77.39,100,2025-11-06 16:41:01.092100,True,77.39
16842,2147,Homework,contain,82.58,100,2025-11-06 16:41:01.092100,True,82.58
16843,2148,FinalExam,mouth,84.99,100,2025-11-06 16:41:01.092614,True,84.99
16844,2148,Midterm,success,89.19,100,2025-11-06 16:41:01.092614,True,89.19
16845,2148,Project,attention,88.72,100,2025-11-06 16:41:01.092614,True,88.72
16846,2148,Midterm,paper,70.43,100,2025-11-06 16:41:01.092614,True,70.43
16847,2148,Quiz,expect,73.35,100,2025-11-06 16:41:01.092614,True,73.35
16848,2148,Quiz,apply,90.77,100,2025-11-06 16:41:01.092614,True,90.77
16849,2148,FinalExam,management,97.91,100,2025-11-06 16:41:01.092614,True,97.91
16850,2148,Quiz,green,87.43,100,2025-11-06 16:41:01.092614,True,87.43
16851,2148,Project,season,75.01,100,2025-11-06 16:41:01.092614,True,75.01
16852,2148,Quiz,involve,77.23,100,2025-11-06 16:41:01.092614,True,77.23
16853,2148,FinalExam,big,81.31,100,2025-11-06 16:41:01.092614,True,81.31
21323,2719,Quiz,mother,32.46,100,2025-11-06 16:41:01.456240,True,32.46
21324,2719,Homework,deep,59.43,100,2025-11-06 16:41:01.456240,True,59.43
21325,2719,Midterm,board,81.22,100,2025-11-06 16:41:01.456240,True,81.22
21326,2719,FinalExam,compare,71.13,100,2025-11-06 16:41:01.456240,True,71.13
21327,2719,Midterm,offer,65.04,100,2025-11-06 16:41:01.456240,True,65.04
21328,2719,Midterm,explain,61.53,100,2025-11-06 16:41:01.456240,False,61.53
21329,2719,Midterm,take,59.24,100,2025-11-06 16:41:01.456240,True,59.24
21330,2719,Homework,little,23.25,100,2025-11-06 16:41:01.456240,True,23.25
21331,2719,Project,bar,42.97,100,2025-11-06 16:41:01.456240,True,42.97
21332,2720,Midterm,order,100.0,100,2025-11-06 16:41:01.456240,True,100.0
21333,2720,Midterm,whether,61.26,100,2025-11-06 16:41:01.457256,True,61.26
21334,2720,FinalExam,away,63.47,100,2025-11-06 16:41:01.457256,True,63.47
21335,2720,Midterm,sing,71.07,100,2025-11-06 16:41:01.457256,True,71.07
21336,2720,Midterm,act,70.76,100,2025-11-06 16:41:01.457256,True,70.76
21337,2720,Midterm,parent,72.02,100,2025-11-06 16:41:01.457256,True,72.02
21338,2720,Project,hot,65.87,100,2025-11-06 16:41:01.457256,True,65.87
21339,2721,Midterm,back,57.96,100,2025-11-06 16:41:01.457256,True,57.96
21340,2721,Homework,if,68.19,100,2025-11-06 16:41:01.457256,False,68.19
21341,2721,FinalExam,nor,59.29,100,2025-11-06 16:41:01.457256,True,59.29
21342,2721,Quiz,hour,75.0,100,2025-11-06 16:41:01.457256,True,75.0
21343,2721,Midterm,energy,86.69,100,2025-11-06 16:41:01.457256,True,86.69
21344,2721,FinalExam,us,37.83,100,2025-11-06 16:41:01.457256,True,37.83
21345,2722,Homework,test,36.33,100,2025-11-06 16:41:01.458256,False,36.33
21346,2722,Quiz,apply,66.36,100,2025-11-06 16:41:01.458256,True,66.36
21347,2722,Quiz,first,52.33,100,2025-11-06 16:41:01.458256,True,52.33
21348,2722,Project,hot,47.17,100,2025-11-06 16:41:01.458256,True,47.17
21349,2722,FinalExam,bank,58.08,100,2025-11-06 16:41:01.458256,True,58.08
21350,2722,Homework,hospital,86.35,100,2025-11-06 16:41:01.458256,True,86.35
21351,2722,Midterm,bank,37.06,100,2025-11-06 16:41:01.458256,True,37.06
21352,2722,FinalExam,reason,77.18,100,2025-11-06 16:41:01.458256,True,77.18
21353,2722,Midterm,more,62.22,100,2025-11-06 16:41:01.458256,True,62.22
21354,2722,Homework,point,78.12,100,2025-11-06 16:41:01.458256,True,78.12
21355,2722,Project,major,49.14,100,2025-11-06 16:41:01.458256,False,49.14
21356,2723,Midterm,ability,75.09,100,2025-11-06 16:41:01.459289,True,75.09
21357,2723,Homework,case,71.78,100,2025-11-06 16:41:01.459289,True,71.78
21358,2723,Quiz,share,43.63,100,2025-11-06 16:41:01.459289,False,43.63
21359,2723,FinalExam,car,76.56,100,2025-11-06 16:41:01.459289,True,76.56
21360,2723,Midterm,happen,74.98,100,2025-11-06 16:41:01.459289,True,74.98
21361,2723,FinalExam,thus,65.36,100,2025-11-06 16:41:01.459289,True,65.36
21362,2723,Project,media,85.35,100,2025-11-06 16:41:01.459289,False,85.35
21363,2724,FinalExam,agent,62.79,100,2025-11-06 16:41:01.459289,True,62.79
21364,2724,FinalExam,budget,54.14,100,2025-11-06 16:41:01.459289,True,54.14
21365,2724,Project,could,58.57,100,2025-11-06 16:41:01.459289,True,58.57
21366,2724,FinalExam,meeting,66.43,100,2025-11-06 16:41:01.459289,False,66.43
21367,2724,Quiz,effect,61.34,100,2025-11-06 16:41:01.459289,True,61.34
21368,2724,Midterm,four,51.82,100,2025-11-06 16:41:01.459289,True,51.82
21369,2724,FinalExam,develop,57.69,100,2025-11-06 16:41:01.459289,True,57.69
21370,2724,FinalExam,attention,66.85,100,2025-11-06 16:41:01.460290,True,66.85
21371,2724,Midterm,prevent,83.49,100,2025-11-06 16:41:01.460290,True,83.49
21372,2724,FinalExam,center,50.76,100,2025-11-06 16:41:01.460290,True,50.76
21373,2724,Project,imagine,53.33,100,2025-11-06 16:41:01.460290,True,53.33
21585,2751,Quiz,throughout,51.72,100,2025-11-06 16:41:01.477388,True,51.72
21586,2751,Project,capital,89.63,100,2025-11-06 16:41:01.477388,False,89.63
21587,2751,Project,ok,85.99,100,2025-11-06 16:41:01.477388,True,85.99
21588,2751,Midterm,shoulder,78.28,100,2025-11-06 16:41:01.477388,True,78.28
21589,2751,FinalExam,city,68.65,100,2025-11-06 16:41:01.477388,True,68.65
21590,2751,Homework,know,75.69,100,2025-11-06 16:41:01.477388,True,75.69
21591,2752,Homework,somebody,88.45,100,2025-11-06 16:41:01.477388,True,88.45
21592,2752,FinalExam,relationship,80.3,100,2025-11-06 16:41:01.477388,True,80.3
21593,2752,Quiz,at,83.33,100,2025-11-06 16:41:01.477388,True,83.33
21594,2752,FinalExam,project,57.31,100,2025-11-06 16:41:01.477388,False,57.31
21595,2752,Homework,member,51.76,100,2025-11-06 16:41:01.477388,True,51.76
21596,2752,Homework,defense,71.31,100,2025-11-06 16:41:01.477388,True,71.31
21597,2752,FinalExam,likely,80.4,100,2025-11-06 16:41:01.477388,True,80.4
21598,2752,Project,set,90.72,100,2025-11-06 16:41:01.477388,True,90.72
21599,2753,Homework,suffer,66.76,100,2025-11-06 16:41:01.478427,True,66.76
21600,2753,FinalExam,fight,87.72,100,2025-11-06 16:41:01.478427,True,87.72
21601,2753,Homework,prove,62.27,100,2025-11-06 16:41:01.478427,False,62.27
21602,2753,Project,same,68.35,100,2025-11-06 16:41:01.478427,True,68.35
21603,2753,FinalExam,know,66.82,100,2025-11-06 16:41:01.478427,True,66.82
21604,2753,Project,pressure,73.47,100,2025-11-06 16:41:01.478427,True,73.47
21605,2753,Homework,personal,83.22,100,2025-11-06 16:41:01.478427,True,83.22
21606,2753,Project,include,73.02,100,2025-11-06 16:41:01.478427,True,73.02
21607,2753,Midterm,job,81.63,100,2025-11-06 16:41:01.478427,True,81.63
21608,2753,Homework,role,81.94,100,2025-11-06 16:41:01.478427,True,81.94
21609,2753,FinalExam,father,77.63,100,2025-11-06 16:41:01.478427,True,77.63
21610,2754,FinalExam,minute,76.81,100,2025-11-06 16:41:01.478427,True,76.81
21611,2754,Midterm,billion,64.98,100,2025-11-06 16:41:01.479388,True,64.98
21612,2754,Homework,expect,79.84,100,2025-11-06 16:41:01.479388,False,79.84
21613,2754,Project,small,79.99,100,2025-11-06 16:41:01.479388,True,79.99
21614,2754,Homework,loss,73.02,100,2025-11-06 16:41:01.479388,True,73.02
21615,2754,FinalExam,join,63.58,100,2025-11-06 16:41:01.479388,True,63.58
21616,2754,FinalExam,individual,82.15,100,2025-11-06 16:41:01.479388,True,82.15
21617,2754,Project,sea,89.79,100,2025-11-06 16:41:01.479388,True,89.79
21618,2754,FinalExam,law,68.17,100,2025-11-06 16:41:01.479388,True,68.17
21619,2754,Midterm,seem,58.12,100,2025-11-06 16:41:01.479388,False,58.12
22518,2871,Quiz,structure,54.63,100,2025-11-06 16:41:01.552425,True,54.63
22519,2871,Project,window,99.28,100,2025-11-06 16:41:01.552425,True,99.28
22520,2871,FinalExam,line,81.99,100,2025-11-06 16:41:01.552425,True,81.99
22521,2871,Homework,level,63.63,100,2025-11-06 16:41:01.552425,False,63.63
22522,2871,FinalExam,candidate,87.11,100,2025-11-06 16:41:01.552425,True,87.11
22523,2871,Homework,agree,66.42,100,2025-11-06 16:41:01.552425,True,66.42
22524,2871,Quiz,view,75.03,100,2025-11-06 16:41:01.552425,False,75.03
22525,2871,Project,however,75.18,100,2025-11-06 16:41:01.552425,True,75.18
22526,2871,FinalExam,decade,59.09,100,2025-11-06 16:41:01.552425,True,59.09
22527,2871,Homework,my,69.84,100,2025-11-06 16:41:01.552425,True,69.84
22528,2872,Midterm,new,96.6,100,2025-11-06 16:41:01.553425,False,96.6
22529,2872,Midterm,establish,76.99,100,2025-11-06 16:41:01.553425,True,76.99
22530,2872,Quiz,so,80.76,100,2025-11-06 16:41:01.553425,True,80.76
22531,2872,FinalExam,crime,100.0,100,2025-11-06 16:41:01.553425,True,100.0
22532,2872,Project,street,68.71,100,2025-11-06 16:41:01.553425,True,68.71
22533,2872,Project,administration,66.28,100,2025-11-06 16:41:01.553425,True,66.28
22534,2873,Homework,night,86.88,100,2025-11-06 16:41:01.553425,True,86.88
22535,2873,Midterm,fund,52.84,100,2025-11-06 16:41:01.553425,True,52.84
22536,2873,Midterm,security,75.98,100,2025-11-06 16:41:01.553425,True,75.98
22537,2873,Midterm,agency,83.98,100,2025-11-06 16:41:01.553425,False,83.98
22538,2873,Project,few,58.71,100,2025-11-06 16:41:01.553425,True,58.71
22539,2873,Midterm,test,73.68,100,2025-11-06 16:41:01.553425,True,73.68
22540,2873,Quiz,people,73.63,100,2025-11-06 16:41:01.554469,True,73.63
22541,2873,Midterm,present,60.66,100,2025-11-06 16:41:01.554469,False,60.66
22542,2873,Project,surface,86.39,100,2025-11-06 16:41:01.554469,True,86.39
22543,2873,Project,collection,63.08,100,2025-11-06 16:41:01.554469,True,63.08
22544,2873,Project,imagine,81.26,100,2025-11-06 16:41:01.554469,False,81.26
22545,2874,Homework,buy,57.42,100,2025-11-06 16:41:01.554469,True,57.42
22546,2874,FinalExam,service,81.35,100,2025-11-06 16:41:01.554469,True,81.35
22547,2874,Quiz,serve,70.58,100,2025-11-06 16:41:01.554469,True,70.58
22548,2874,Homework,break,84.23,100,2025-11-06 16:41:01.554469,True,84.23
22549,2874,Quiz,give,77.14,100,2025-11-06 16:41:01.554469,True,77.14
22550,2874,Midterm,young,78.72,100,2025-11-06 16:41:01.554469,True,78.72
22551,2874,Project,peace,55.76,100,2025-11-06 16:41:01.554469,True,55.76
22552,2875,Quiz,write,56.31,100,2025-11-06 16:41:01.555422,True,56.31
22553,2875,Project,economic,91.2,100,2025-11-06 16:41:01.555422,True,91.2
22554,2875,FinalExam,student,64.33,100,2025-11-06 16:41:01.555422,True,64.33
22555,2875,Project,score,48.5,100,2025-11-06 16:41:01.555422,True,48.5
22556,2875,Homework,spring,50.9,100,2025-11-06 16:41:01.555422,True,50.9
22557,2875,Midterm,doctor,57.55,100,2025-11-06 16:41:01.555422,False,57.55
22558,2875,Project,even,84.92,100,2025-11-06 16:41:01.555422,True,84.92
22559,2875,Project,executive,63.49,100,2025-11-06 16:41:01.555422,True,63.49
22560,2875,Midterm,pull,67.74,100,2025-11-06 16:41:01.555422,True,67.74
22561,2876,FinalExam,personal,65.02,100,2025-11-06 16:41:01.555422,True,65.02
22562,2876,Quiz,bad,69.65,100,2025-11-06 16:41:01.555422,True,69.65
22563,2876,FinalExam,kitchen,96.98,100,2025-11-06 16:41:01.555422,True,96.98
22564,2876,Project,fish,73.68,100,2025-11-06 16:41:01.555422,True,73.68
22565,2876,FinalExam,return,83.96,100,2025-11-06 16:41:01.555422,True,83.96
22566,2876,Midterm,meeting,100.0,100,2025-11-06 16:41:01.556419,True,100.0
22567,2876,Quiz,ever,79.73,100,2025-11-06 16:41:01.556419,True,79.73
24618,3142,Quiz,eat,96.65,100,2025-11-06 16:41:01.720711,True,96.65
24619,3142,Homework,chair,77.31,100,2025-11-06 16:41:01.720711,True,77.31
24620,3142,Project,lead,95.44,100,2025-11-06 16:41:01.720711,True,95.44
24621,3142,Midterm,shake,87.1,100,2025-11-06 16:41:01.720711,True,87.1
24622,3142,Homework,their,81.33,100,2025-11-06 16:41:01.720711,True,81.33
24623,3143,Homework,carry,79.43,100,2025-11-06 16:41:01.720711,False,79.43
24624,3143,Project,keep,88.55,100,2025-11-06 16:41:01.720711,True,88.55
24625,3143,FinalExam,face,89.69,100,2025-11-06 16:41:01.720711,False,89.69
24626,3143,Quiz,gas,83.91,100,2025-11-06 16:41:01.720711,False,83.91
24627,3143,Homework,add,87.54,100,2025-11-06 16:41:01.720711,True,87.54
24628,3143,Quiz,threat,90.3,100,2025-11-06 16:41:01.720711,True,90.3
24629,3143,Homework,power,89.26,100,2025-11-06 16:41:01.720711,True,89.26
24630,3144,Project,fear,82.75,100,2025-11-06 16:41:01.721762,True,82.75
24631,3144,Homework,pressure,93.18,100,2025-11-06 16:41:01.721762,False,93.18
24632,3144,Homework,perhaps,83.91,100,2025-11-06 16:41:01.721762,True,83.91
24633,3144,Homework,clear,64.08,100,2025-11-06 16:41:01.721762,False,64.08
24634,3144,Midterm,executive,94.15,100,2025-11-06 16:41:01.721762,True,94.15
