AttendanceID,EnrollmentID,ClassDate,Status,Notes
18989,1266,2024-12-01,Present,
18990,1266,2024-12-08,Present,
18991,1267,2024-09-01,Late,Miss president friend shoulder decade difference.
18992,1267,2024-09-08,Present,
18993,1267,2024-09-15,Present,
18994,1267,2024-09-22,Present,
18995,1267,2024-09-29,Present,
18996,1267,2024-10-06,Present,
18997,1267,2024-10-13,Present,
18998,1267,2024-10-20,Present,
18999,1267,2024-10-27,Present,
19000,1267,2024-11-03,Present,
19001,1267,2024-11-10,Present,
19002,1267,2024-11-17,Present,
19003,1267,2024-11-24,Present,
19004,1267,2024-12-01,Present,
19005,1267,2024-12-08,Present,
28291,1887,2024-09-01,Present,
28292,1887,2024-09-08,Present,
28293,1887,2024-09-15,Present,
28294,1887,2024-09-22,Present,
28295,1887,2024-09-29,Present,
28296,1887,2024-10-06,Present,
28297,1887,2024-10-13,Present,
28298,1887,2024-10-20,Present,
28299,1887,2024-10-27,Absent,Century concern production and doctor effort.
28300,1887,2024-11-03,Present,
28301,1887,2024-11-10,Present,
28302,1887,2024-11-17,Present,
28303,1887,2024-11-24,Present,
28304,1887,2024-12-01,Present,
28305,1887,2024-12-08,Present,
28306,1888,2024-09-01,Present,
28307,1888,2024-09-08,Present,
28308,1888,2024-09-15,Present,
28309,1888,2024-09-22,Present,
28310,1888,2024-09-29,Present,
28311,1888,2024-10-06,Absent,Experience alone dream method body meeting performance color.
28312,1888,2024-10-13,Late,Treat night entire expert.
28313,1888,2024-10-20,Present,
28314,1888,2024-10-27,Present,
28315,1888,2024-11-03,Present,
28316,1888,2024-11-10,Present,
28317,1888,2024-11-17,Present,
28318,1888,2024-11-24,Absent,He themselves option.
28319,1888,2024-12-01,Present,
28320,1888,2024-12-08,Present,
28321,1889,2024-09-01,Present,
28322,1889,2024-09-08,Present,
28323,1889,2024-09-15,Present,
28324,1889,2024-09-22,Present,
28325,1889,2024-09-29,Present,
28326,1889,2024-10-06,Present,
28327,1889,2024-10-13,Present,
28328,1889,2024-10-20,Present,
28329,1889,2024-10-27,Present,
28330,1889,2024-11-03,Present,
28331,1889,2024-11-10,Present,
28332,1889,2024-11-17,Present,
28333,1889,2024-11-24,Present,
28334,1889,2024-12-01,Present,
28335,1889,2024-12-08,Present,
28336,1890,2024-09-01,Present,
28337,1890,2024-09-08,Present,
28338,1890,2024-09-15,Present,
28339,1890,2024-09-22,Present,
28340,1890,2024-09-29,Present,
28341,1890,2024-10-06,Present,
28342,1890,2024-10-13,Present,
28343,1890,2024-10-20,Present,
28344,1890,2024-10-27,Present,
28345,1890,2024-11-03,Present,
28346,1890,2024-11-10,Present,
28347,1890,2024-11-17,Present,
28348,1890,2024-11-24,Present,
28349,1890,2024-12-01,Present,
28350,1890,2024-12-08,Present,
28351,1891,2024-09-01,Present,
28352,1891,2024-09-08,Present,
28353,1891,2024-09-15,Present,
28354,1891,2024-09-22,Present,
28355,1891,2024-09-29,Present,
28356,1891,2024-10-06,Present,
28357,1891,2024-10-13,Present,
28358,1891,2024-10-20,Present,
28359,1891,2024-10-27,Present,
28360,1891,2024-11-03,Present,
28361,1891,2024-11-10,Present,
28362,1891,2024-11-17,Present,
28363,1891,2024-11-24,Present,
28364,1891,2024-12-01,Present,
28365,1891,2024-12-08,Present,
31486,2100,2024-09-01,Present,
31487,2100,2024-09-08,Present,
31488,2100,2024-09-15,Present,
31489,2100,2024-09-22,Present,
31490,2100,2024-09-29,Present,
31491,2100,2024-10-06,Late,Him defense past trouble.
31492,2100,2024-10-13,Present,
31493,2100,2024-10-20,Present,
31494,2100,2024-10-27,Present,
31495,2100,2024-11-03,Present,
31496,2100,2024-11-10,Absent,Follow truth buy market author.
31497,2100,2024-11-17,Present,
31498,2100,2024-11-24,Present,
31499,2100,2024-12-01,Present,
31500,2100,2024-12-08,Present,
31501,2101,2024-09-01,Present,
31502,2101,2024-09-08,Present,
31503,2101,2024-09-15,Present,
31504,2101,2024-09-22,Present,
31505,2101,2024-09-29,Present,
31506,2101,2024-10-06,Present,
31507,2101,2024-10-13,Present,
31508,2101,2024-10-20,Present,
31509,2101,2024-10-27,Present,
31510,2101,2024-11-03,Present,
31511,2101,2024-11-10,Present,
31512,2101,2024-11-17,Present,
31513,2101,2024-11-24,Present,
31514,2101,2024-12-01,Present,
31515,2101,2024-12-08,Present,
31516,2102,2024-09-01,Present,
31517,2102,2024-09-08,Present,
31518,2102,2024-09-15,Present,
31519,2102,2024-09-22,Present,
31520,2102,2024-09-29,Present,
31521,2102,2024-10-06,Absent,Public he help toward goal happy.
31522,2102,2024-10-13,Present,
31523,2102,2024-10-20,Present,
31524,2102,2024-10-27,Present,
31525,2102,2024-11-03,Present,
31526,2102,2024-11-10,Present,
31527,2102,2024-11-17,Present,
31528,2102,2024-11-24,Present,
31529,2102,2024-12-01,Present,
31530,2102,2024-12-08,Present,
31531,2103,2024-09-01,Present,
31532,2103,2024-09-08,Present,
31533,2103,2024-09-15,Present,
31534,2103,2024-09-22,Present,
31535,2103,2024-09-29,Present,
31536,2103,2024-10-06,Present,
31537,2103,2024-10-13,Present,
31538,2103,2024-10-20,Present,
31539,2103,2024-10-27,Present,
31540,2103,2024-11-03,Present,
31541,2103,2024-11-10,Present,
31542,2103,2024-11-17,Present,
31543,2103,2024-11-24,Present,
31544,2103,2024-12-01,Present,
31545,2103,2024-12-08,Present,
31546,2104,2024-09-01,Absent,Customer statement act here stock.
31547,2104,2024-09-08,Late,Sport may daughter likely.
31548,2104,2024-09-15,Present,
31549,2104,2024-09-22,Present,
31550,2104,2024-09-29,Present,
31551,2104,2024-10-06,Present,
31552,2104,2024-10-13,Late,Very senior bar town world.
31553,2104,2024-10-20,Absent,Can western education strategy.
31554,2104,2024-10-27,Present,
31555,2104,2024-11-03,Present,
31556,2104,2024-11-10,Present,
31557,2104,2024-11-17,Present,
31558,2104,2024-11-24,Present,
31559,2104,2024-12-01,Present,
31560,2104,2024-12-08,Absent,Population drug season.
32161,2145,2024-09-01,Present,
32162,2145,2024-09-08,Present,
32163,2145,2024-09-15,Present,
32164,2145,2024-09-22,Present,
32165,2145,2024-09-29,Present,
32166,2145,2024-10-06,Present,
32167,2145,2024-10-13,Present,
32168,2145,2024-10-20,Present,
32169,2145,2024-10-27,Present,
32170,2145,2024-11-03,Present,
32171,2145,2024-11-10,Late,Somebody do prepare throw street population.
32172,2145,2024-11-17,Present,
32173,2145,2024-11-24,Present,
32174,2145,2024-12-01,Present,
32175,2145,2024-12-08,Present,
32176,2146,2024-09-01,Present,
32177,2146,2024-09-08,Present,
32178,2146,2024-09-15,Present,
32179,2146,2024-09-22,Present,
32180,2146,2024-09-29,Present,
32181,2146,2024-10-06,Late,Close large anything.
32182,2146,2024-10-13,Present,
32183,2146,2024-10-20,Present,
32184,2146,2024-10-27,Present,
32185,2146,2024-11-03,Present,
32186,2146,2024-11-10,Present,
32187,2146,2024-11-17,Present,
32188,2146,2024-11-24,Present,
32189,2146,2024-12-01,Present,
32190,2146,2024-12-08,Present,
32191,2147,2024-09-01,Present,
32192,2147,2024-09-08,Absent,Whole anyone up pull.
32193,2147,2024-09-15,Present,
32194,2147,2024-09-22,Present,
32195,2147,2024-09-29,Present,
32196,2147,2024-10-06,Present,
32197,2147,2024-10-13,Present,
32198,2147,2024-10-20,Present,
32199,2147,2024-10-27,Present,
32200,2147,2024-11-03,Present,
32201,2147,2024-11-10,Present,
32202,2147,2024-11-17,Present,
32203,2147,2024-11-24,Absent,Address employee phone somebody standard.
32204,2147,2024-12-01,Present,
32205,2147,2024-12-08,Present,
32206,2148,2024-09-01,Present,
32207,2148,2024-09-08,Present,
32208,2148,2024-09-15,Present,
32209,2148,2024-09-22,Present,
32210,2148,2024-09-29,Present,
32211,2148,2024-10-06,Present,
32212,2148,2024-10-13,Present,
32213,2148,2024-10-20,Present,
32214,2148,2024-10-27,Present,
32215,2148,2024-11-03,Present,
32216,2148,2024-11-10,Present,
32217,2148,2024-11-17,Present,
32218,2148,2024-11-24,Present,
32219,2148,2024-12-01,Present,
32220,2148,2024-12-08,Present,
40771,2719,2024-09-01,Absent,Process soon true over.
40772,2719,2024-09-08,Present,
40773,2719,2024-09-15,Absent,Surface effort kid reveal forward player development.
40774,2719,2024-09-22,Present,
40775,2719,2024-09-29,Present,
40776,2719,2024-10-06,Present,
40777,2719,2024-10-13,Present,
40778,2719,2024-10-20,Present,
40779,2719,2024-10-27,Present,
40780,2719,2024-11-03,Present,
40781,2719,2024-11-10,Present,
40782,2719,2024-11-17,Absent,Herself that stand hair apply I day treatment.
40783,2719,2024-11-24,Present,
40784,2719,2024-12-01,Present,
40785,2719,2024-12-08,Absent,Easy enter here goal.
40786,2720,2024-09-01,Absent,Just ago woman key.
40787,2720,2024-09-08,Excused,Central item often every test public according anyone.
40788,2720,2024-09-15,Late,Difficult bar medical.
40789,2720,2024-09-22,Present,
40790,2720,2024-09-29,Absent,Behind market say claim upon past home.
40791,2720,2024-10-06,Late,Activity respond radio discuss again respond.
40792,2720,2024-10-13,Present,
40793,2720,2024-10-20,Absent,Beat stock case newspaper.
40794,2720,2024-10-27,Late,What modern environment husband.
40795,2720,2024-11-03,Absent,Hand response none ask base.
40796,2720,2024-11-10,Present,
40797,2720,2024-11-17,Late,Action none prevent effort.
40798,2720,2024-11-24,Present,
40799,2720,2024-12-01,Present,
40800,2720,2024-12-08,Present,
40801,2721,2024-09-01,Present,
40802,2721,2024-09-08,Late,May opportunity crime treatment step.
40803,2721,2024-09-15,Excused,Dinner improve age today material at.
40804,2721,2024-09-22,Present,
40805,2721,2024-09-29,Present,
40806,2721,2024-10-06,Absent,Over cultural information no another.
40807,2721,2024-10-13,Absent,Life this myself receive speech.
40808,2721,2024-10-20,Absent,Price stand trial effect person team street.
40809,2721,2024-10-27,Present,
40810,2721,2024-11-03,Absent,One imagine street road.
40811,2721,2024-11-10,Absent,Hotel couple voice decade social.
40812,2721,2024-11-17,Present,
40813,2721,2024-11-24,Absent,Blue forward artist up.
40814,2721,2024-12-01,Present,
40815,2721,2024-12-08,Present,
40816,2722,2024-09-01,Absent,Network card big choose down training yard.
40817,2722,2024-09-08,Present,
40818,2722,2024-09-15,Present,
40819,2722,2024-09-22,Present,
40820,2722,2024-09-29,Absent,Improve deal add reality election soldier certain.
40821,2722,2024-10-06,Present,
40822,2722,2024-10-13,Present,
40823,2722,2024-10-20,Excused,Near stay successful time clearly story memory.
40824,2722,2024-10-27,Present,
40825,2722,2024-11-03,Present,
40826,2722,2024-11-10,Present,
40827,2722,2024-11-17,Absent,Suggest to some major tend.
40828,2722,2024-11-24,Absent,Point piece suffer both election development protect.
40829,2722,2024-12-01,Present,
40830,2722,2024-12-08,Present,
40831,2723,2024-09-01,Absent,Move trial whatever half debate measure right.
40832,2723,2024-09-08,Present,
40833,2723,2024-09-15,Present,
40834,2723,2024-09-22,Late,Writer firm record cut such stage trial I.
40835,2723,2024-09-29,Late,Another different fight allow individual pick.
40836,2723,2024-10-06,Late,Surface husband possible light administration walk again.
40837,2723,2024-10-13,Absent,Lose nor history question him citizen politics.
40838,2723,2024-10-20,Present,
40839,2723,2024-10-27,Present,
40840,2723,2024-11-03,Present,
40841,2723,2024-11-10,Absent,Financial save car fact concern all may.
40842,2723,2024-11-17,Present,
40843,2723,2024-11-24,Absent,South growth listen sell what.
40844,2723,2024-12-01,Absent,Improve year between why look hot region.
40845,2723,2024-12-08,Absent,Because actually growth everything.
40846,2724,2024-09-01,Absent,Bed baby cover dog feeling treatment third.
40847,2724,2024-09-08,Late,Agency model other face fast fish.
40848,2724,2024-09-15,Present,
40849,2724,2024-09-22,Present,
40850,2724,2024-09-29,Present,
40851,2724,2024-10-06,Present,
40852,2724,2024-10-13,Absent,Drive fall more risk bank anything.
40853,2724,2024-10-20,Absent,Free up beyond building.
40854,2724,2024-10-27,Present,
40855,2724,2024-11-03,Present,
40856,2724,2024-11-10,Present,
40857,2724,2024-11-17,Present,
40858,2724,2024-11-24,Present,
40859,2724,2024-12-01,Absent,Stuff other best husband several many.
40860,2724,2024-12-08,Present,
41251,2751,2024-09-01,Present,
41252,2751,2024-09-08,Absent,Require week two wear produce smile.
41253,2751,2024-09-15,Present,
41254,2751,2024-09-22,Present,
41255,2751,2024-09-29,Absent,Attention then performance trip feel task.
41256,2751,2024-10-06,Present,
41257,2751,2024-10-13,Present,
41258,2751,2024-10-20,Present,
41259,2751,2024-10-27,Present,
41260,2751,2024-11-03,Present,
41261,2751,2024-11-10,Present,
41262,2751,2024-11-17,Present,
41263,2751,2024-11-24,Present,
41264,2751,2024-12-01,Present,
41265,2751,2024-12-08,Present,
41266,2752,2024-09-01,Present,
41267,2752,2024-09-08,Absent,Team card firm charge television design painting similar.
41268,2752,2024-09-15,Present,
41269,2752,2024-09-22,Present,
41270,2752,2024-09-29,Present,
41271,2752,2024-10-06,Absent,He thought only company skin that.
41272,2752,2024-10-13,Absent,Hotel system although class audience turn laugh.
41273,2752,2024-10-20,Absent,Within wife every born great moment save.
41274,2752,2024-10-27,Present,
41275,2752,2024-11-03,Absent,Into business leg similar those cold skin.
41276,2752,2024-11-10,Present,
41277,2752,2024-11-17,Late,High sing material.
41278,2752,2024-11-24,Present,
41279,2752,2024-12-01,Present,
41280,2752,2024-12-08,Present,
41281,2753,2024-09-01,Absent,Environmental majority rich provide.
41282,2753,2024-09-08,Present,
41283,2753,2024-09-15,Late,Ever just him possible set.
41284,2753,2024-09-22,Present,
41285,2753,2024-09-29,Present,
41286,2753,2024-10-06,Present,
41287,2753,2024-10-13,Present,
41288,2753,2024-10-20,Present,
41289,2753,2024-10-27,Present,
41290,2753,2024-11-03,Present,
41291,2753,2024-11-10,Absent,Party up couple listen.
41292,2753,2024-11-17,Present,
41293,2753,2024-11-24,Present,
41294,2753,2024-12-01,Present,
41295,2753,2024-12-08,Present,
41296,2754,2024-09-01,Present,
41297,2754,2024-09-08,Absent,It do I so concern a.
41298,2754,2024-09-15,Present,
41299,2754,2024-09-22,Present,
41300,2754,2024-09-29,Present,
41301,2754,2024-10-06,Present,
41302,2754,2024-10-13,Late,Account debate land others military article.
41303,2754,2024-10-20,Excused,Travel develop year business author.
41304,2754,2024-10-27,Present,
41305,2754,2024-11-03,Absent,Such garden lay tonight level.
41306,2754,2024-11-10,Present,
41307,2754,2024-11-17,Present,
41308,2754,2024-11-24,Present,
41309,2754,2024-12-01,Excused,Else Mrs hand child.
41310,2754,2024-12-08,Present,
43051,2871,2024-09-01,Present,
43052,2871,2024-09-08,Present,
43053,2871,2024-09-15,Present,
43054,2871,2024-09-22,Present,
43055,2871,2024-09-29,Present,
43056,2871,2024-10-06,Present,
43057,2871,2024-10-13,Present,
43058,2871,2024-10-20,Present,
43059,2871,2024-10-27,Present,
43060,2871,2024-11-03,Present,
43061,2871,2024-11-10,Present,
43062,2871,2024-11-17,Present,
43063,2871,2024-11-24,Present,
43064,2871,2024-12-01,Present,
43065,2871,2024-12-08,Absent,Population exist about suddenly drug radio.
43066,2872,2024-09-01,Absent,New cold painting first growth senior stop.
43067,2872,2024-09-08,Present,
43068,2872,2024-09-15,Present,
43069,2872,2024-09-22,Present,
43070,2872,2024-09-29,Present,
43071,2872,2024-10-06,Present,
43072,2872,2024-10-13,Present,
43073,2872,2024-10-20,Present,
43074,2872,2024-10-27,Present,
43075,2872,2024-11-03,Absent,Message degree decide energy write rather else.
43076,2872,2024-11-10,Absent,Class art attention can should might.
43077,2872,2024-11-17,Present,
43078,2872,2024-11-24,Present,
43079,2872,2024-12-01,Present,
43080,2872,2024-12-08,Present,
43081,2873,2024-09-01,Present,
43082,2873,2024-09-08,Present,
43083,2873,2024-09-15,Present,
43084,2873,2024-09-22,Present,
43085,2873,2024-09-29,Present,
43086,2873,2024-10-06,Present,
43087,2873,2024-10-13,Present,
43088,2873,2024-10-20,Present,
43089,2873,2024-10-27,Present,
43090,2873,2024-11-03,Present,
43091,2873,2024-11-10,Present,
43092,2873,2024-11-17,Present,
43093,2873,2024-11-24,Absent,Throughout open approach.
43094,2873,2024-12-01,Present,
43095,2873,2024-12-08,Present,
43096,2874,2024-09-01,Present,
43097,2874,2024-09-08,Present,
43098,2874,2024-09-15,Present,
43099,2874,2024-09-22,Present,
43100,2874,2024-09-29,Present,
43101,2874,2024-10-06,Present,
43102,2874,2024-10-13,Absent,Glass beat save agency.
43103,2874,2024-10-20,Present,
43104,2874,2024-10-27,Absent,Member surface crime notice.
43105,2874,2024-11-03,Present,
43106,2874,2024-11-10,Present,
43107,2874,2024-11-17,Present,
43108,2874,2024-11-24,Absent,Word camera determine return.
43109,2874,2024-12-01,Present,
43110,2874,2024-12-08,Present,
43111,2875,2024-09-01,Present,
43112,2875,2024-09-08,Present,
43113,2875,2024-09-15,Absent,Prove machine end knowledge.
43114,2875,2024-09-22,Present,
43115,2875,2024-09-29,Present,
43116,2875,2024-10-06,Present,
43117,2875,2024-10-13,Present,
43118,2875,2024-10-20,Present,
43119,2875,2024-10-27,Present,
43120,2875,2024-11-03,Present,
43121,2875,2024-11-10,Present,
43122,2875,2024-11-17,Present,
43123,2875,2024-11-24,Present,
43124,2875,2024-12-01,Absent,Include population head rise report one.
43125,2875,2024-12-08,Present,
43126,2876,2024-09-01,Present,
43127,2876,2024-09-08,Absent,Hold game less through strong newspaper keep.
43128,2876,2024-09-15,Late,With visit many then current administration piece.
43129,2876,2024-09-22,Late,Listen imagine analysis standard.
43130,2876,2024-09-29,Present,
43131,2876,2024-10-06,Present,
43132,2876,2024-10-13,Present,
43133,2876,2024-10-20,Present,
43134,2876,2024-10-27,Present,
43135,2876,2024-11-03,Present,
43136,2876,2024-11-10,Present,
43137,2876,2024-11-17,Excused,Street family expert large sister.
43138,2876,2024-11-24,Absent,Mother onto training drop her recently military leave.
43139,2876,2024-12-01,Absent,Fire especially little should commercial tough.
43140,2876,2024-12-08,Present,
47116,3142,2024-09-01,Present,
47117,3142,2024-09-08,Present,
47118,3142,2024-09-15,Present,
47119,3142,2024-09-22,Present,
47120,3142,2024-09-29,Present,
47121,3142,2024-10-06,Present,
47122,3142,2024-10-13,Present,
47123,3142,2024-10-20,Present,
47124,3142,2024-10-27,Present,
47125,3142,2024-11-03,Present,
47126,3142,2024-11-10,Present,
47127,3142,2024-11-17,Present,
47128,3142,2024-11-24,Present,
47129,3142,2024-12-01,Present,
47130,3142,2024-12-08,Present,
47131,3143,2024-09-01,Present,
47132,3143,2024-09-08,Present,
47133,3143,2024-09-15,Present,
47134,3143,2024-09-22,Present,
47135,3143,2024-09-29,Present,
47136,3143,2024-10-06,Present,
47137,3143,2024-10-13,Late,Talk seat past environmental maybe college third.
47138,3143,2024-10-20,Present,
47139,3143,2024-10-27,Present,
47140,3143,2024-11-03,Present,
47141,3143,2024-11-10,Present,
47142,3143,2024-11-17,Present,
47143,3143,2024-11-24,Present,
47144,3143,2024-12-01,Present,
47145,3143,2024-12-08,Absent,Stay sell late language together these.
47146,3144,2024-09-01,Present,
47147,3144,2024-09-08,Present,
47148,3144,2024-09-15,Present,
47149,3144,2024-09-22,Present,
47150,3144,2024-09-29,Present,
47151,3144,2024-10-06,Present,
47152,3144,2024-10-13,Present,
47153,3144,2024-10-20,Present,
47154,3144,2024-10-27,Present,
47155,3144,2024-11-03,Present,
47156,3144,2024-11-10,Present,
47157,3144,2024-11-17,Present,
47158,3144,2024-11-24,Present,
47159,3144,2024-12-01,Present,
47160,3144,2024-12-08,Present,
47161,3145,2024-09-01,Present,
47162,3145,2024-09-08,Present,
47163,3145,2024-09-15,Present,
47164,3145,2024-09-22,Present,
47165,3145,2024-09-29,Present,
47166,3145,2024-10-06,Present,
47167,3145,2024-10-13,Present,
47168,3145,2024-10-20,Present,
47169,3145,2024-10-27,Present,
47170,3145,2024-11-03,Present,
47171,3145,2024-11-10,Present,
47172,3145,2024-11-17,Present,
47173,3145,2024-11-24,Present,
47174,3145,2024-12-01,Present,
47175,3145,2024-12-08,Present,
47176,3146,2024-09-01,Present,
47177,3146,2024-09-08,Present,
47178,3146,2024-09-15,Absent,One more network stage article fill.
47179,3146,2024-09-22,Present,
47180,3146,2024-09-29,Present,
47181,3146,2024-10-06,Absent,Politics their compare live pretty true.
47182,3146,2024-10-13,Present,
47183,3146,2024-10-20,Present,
47184,3146,2024-10-27,Present,
47185,3146,2024-11-03,Present,
47186,3146,2024-11-10,Present,
47187,3146,2024-11-17,Absent,Pass sister face.
47188,3146,2024-11-24,Present,
47189,3146,2024-12-01,Present,
47190,3146,2024-12-08,Present,
47191,3147,2024-09-01,Present,
47192,3147,2024-09-08,Present,
47193,3147,2024-09-15,Absent,Several across or.
47194,3147,2024-09-22,Present,
47195,3147,2024-09-29,Present,
47196,3147,2024-10-06,Present,
47197,3147,2024-10-13,Present,
47198,3147,2024-10-20,Present,
47199,3147,2024-10-27,Present,
47200,3147,2024-11-03,Absent,Natural where available suggest billion like team.
47201,3147,2024-11-10,Present,
47202,3147,2024-11-17,Present,
47203,3147,2024-11-24,Absent,Item who poor party coach add night.
47204,3147,2024-12-01,Present,
47205,3147,2024-12-08,Present,
55696,3714,2024-09-01,Present,
55697,3714,2024-09-08,Present,
55698,3714,2024-09-15,Present,
55699,3714,2024-09-22,Present,
55700,3714,2024-09-29,Present,
55701,3714,2024-10-06,Absent,Think poor resource though player amount animal.
55702,3714,2024-10-13,Present,
55703,3714,2024-10-20,Present,
55704,3714,2024-10-27,Present,
55705,3714,2024-11-03,Present,
55706,3714,2024-11-10,Present,
55707,3714,2024-11-17,Present,
55708,3714,2024-11-24,Present,
55709,3714,2024-12-01,Present,
55710,3714,2024-12-08,Present,
55711,3715,2024-09-01,Present,
55712,3715,2024-09-08,Present,
55713,3715,2024-09-15,Present,
55714,3715,2024-09-22,Present,
55715,3715,2024-09-29,Present,
55716,3715,2024-10-06,Absent,I measure parent world themselves win three.
55717,3715,2024-10-13,Present,
55718,3715,2024-10-20,Present,
55719,3715,2024-10-27,Present,
55720,3715,2024-11-03,Present,
55721,3715,2024-11-10,Present,
55722,3715,2024-11-17,Present,
55723,3715,2024-11-24,Present,
55724,3715,2024-12-01,Present,
55725,3715,2024-12-08,Present,
55726,3716,2024-09-01,Present,
55727,3716,2024-09-08,Present,
55728,3716,2024-09-15,Absent,Building town item blue financial herself institution enter.
55729,3716,2024-09-22,Present,
55730,3716,2024-09-29,Present,
55731,3716,2024-10-06,Present,
55732,3716,2024-10-13,Present,
55733,3716,2024-10-20,Present,
55734,3716,2024-10-27,Absent,Especially your compare number.
55735,3716,2024-11-03,Present,
55736,3716,2024-11-10,Present,
55737,3716,2024-11-17,Present,
55738,3716,2024-11-24,Present,
55739,3716,2024-12-01,Absent,Unit fast what citizen world travel.
55740,3716,2024-12-08,Present,
55741,3717,2024-09-01,Present,
55742,3717,2024-09-08,Present,
55743,3717,2024-09-15,Present,
55744,3717,2024-09-22,Absent,Perform grow now record religious require thus.
55745,3717,2024-09-29,Present,
55746,3717,2024-10-06,Present,
55747,3717,2024-10-13,Present,
55748,3717,2024-10-20,Present,
55749,3717,2024-10-27,Present,
55750,3717,2024-11-03,Present,
55751,3717,2024-11-10,Late,Mr difficult tonight how reveal.
55752,3717,2024-11-17,Present,
55753,3717,2024-11-24,Present,
55754,3717,2024-12-01,Present,
55755,3717,2024-12-08,Present,
55756,3718,2024-09-01,Absent,Care western commercial pattern.
55757,3718,2024-09-08,Present,
55758,3718,2024-09-15,Absent,Order job relate claim office parent.
55759,3718,2024-09-22,Present,
55760,3718,2024-09-29,Present,
55761,3718,2024-10-06,Present,
55762,3718,2024-10-13,Present,
55763,3718,2024-10-20,Present,
